29.5	0.7156	16.5	4	4	74	53	31	0.24	0.04
14.5	1.728	402	28	28	417	33	33	0.38	0.1
24.9	1.798	38.2	4.1	4.1	115	19	19	0.27	0.05
83.8	2.1974	2820	12	12	1791	134	157	0.75	0.08
17.2	1.405	2037	46	46	2552	87	91	1.21	0.29
4.3	4.1745	151.7	1.7	1.7	642	134.5	134.5	0.86	0.42
59.8	2.486	264	25	25	662	105	174	0.71	0.09
29.4	1.48	6.02	1.09	1.09	68.4	18.6	18.6	0.33	0.06
39.7	0.8	23	15	15	559	57	57	1.6	0.25
0.33	1.3	6.57	0.47	0.47	283	41	62	1.33	2.32
7.3	2.671	88.1	8.3	8.3	157	21	21	0.26	0.1
23.3	3.93	690	50	50	1652	123	123	1.21	0.25
44.5	3.1	252.5	4.9	4.9	247	26	26	0.27	0.04
3.1	2.2	100.6	3.6	3.6	246	10	10	0.39	0.22
90	0.597	56	1.4	1.4	248	101	101	0.5	0.05
0.89	3.758	324	61	61	1289	205	176	1.28	1.35
45.7	1.297	62.9	1.1	1.1	130.8	7	7	0.25	0.04
46.1	0.3399	890.4	4.6	4.6	1415	13	13	0.94	0.14
4.5	2.27	4380	100	100	1939	78	85	0.68	0.32
34.8	3.6	495	67	85	506	97	193	0.42	0.07
8.2	2.488	2160	140	140	1158	157	188	0.54	0.19
1.74	5.913	283	52	52	2032	346	622	2.12	1.61
7	2.092	57.82	0.65	0.65	895	382	382	1.77	0.67
1.9	2.006	7.19	0.8	0.8	186	32	32	0.85	0.61
1.7	1.155	26.2	1	1	191.8	8.6	8.6	0.52	0.4
51.4	0.145	0.64	0.13	0.13	17.2	5.7	5.7	0.21	0.03
11.9	0.4791	8.05	0.57	0.57	79.9	13.3	10.4	0.35	0.1
80.6	1.238	3849	130	130	866	36	36	0.32	0.04
3341	0.347	150	3	3	244	13	13	0.33	0.006
26.8	1.874	83.4	0.6	0.6	788	71	71	1.34	0.26
6.9	1.293	327	13	13	449	14	14	0.44	0.17
41.3	1.686	153	12	12	540	70	107	0.72	0.11
5.2	2.4	540	24	24	1217	88	105	0.98	0.43
2.2	4.042	10.3	1.8	1.8	222	37	37	0.87	0.59
17.7	0.6439	211	6	6	266	10	10	0.31	0.07
39.3	2.73	2778	5	5	1780	120	120	0.75	0.12
7.4	1.2076	88.8	2.4	2.4	220.8	8.8	8.8	0.37	0.14
5	1.98	56.8	10.8	10.8	1234	235	235	2.45	1.1
5.1	5.283	103	10	10	863	90	111	1.35	0.6
10.8	3.956	2280	180	180	2161	198	243	0.98	0.3
22.3	3.26	438	3	3	517	65	65	0.45	0.1
32.3	0.889	14	1.4	1.4	378	79	170	1.32	0.23
73.8	1.027	225	15	15	446	26	28	0.51	0.06
81.8	0.725	72.5	6.1	6.1	826	136	202	1.49	0.17
3.2	6.32	53.8	5.8	5.8	376	108	108	0.76	0.43
10.6	4.707	59.8	5.8	5.8	251	43	43	0.49	0.15
4.9	0.384	2.5	0.2	0.2	352	37	46	2.44	1.1
15.1	2.04	72.75	0.66	0.66	387	34	34	0.7	0.18
38	1.92	35.32	0.44	0.44	834	317	317	2	0.33
7.9	2.275	44	6.5	6.5	282	56	56	0.62	0.22
